tr	Yelda	c-gel-abil-0	gelebilirim
tr	Yelda	c-gel-abil-1	gelebilirsin
tr	Yelda	c-gel-abil-2	gelebilir
tr	Yelda	c-gel-abil-3	gelebiliriz
tr	Yelda	c-gel-abil-4	gelebilirsiniz
tr	Yelda	c-gel-abil-5	gelebilirler
tr	Yelda	c-gel-ama-0	gelemem
tr	Yelda	c-gel-ama-1	gelemezsin
tr	Yelda	c-gel-ama-2	gelemez
tr	Yelda	c-gel-ama-3	gelemeyiz
tr	Yelda	c-gel-ama-4	gelemezsiniz
tr	Yelda	c-gel-ama-5	gelemezler
tr	Yelda	c-gel-mayabil-0	gelmeyebilirim
tr	Yelda	c-gel-mayabil-1	gelmeyebilirsin
tr	Yelda	c-gel-mayabil-2	gelmeyebilir
tr	Yelda	c-gel-mayabil-3	gelmeyebiliriz
tr	Yelda	c-gel-mayabil-4	gelmeyebilirsiniz
tr	Yelda	c-gel-mayabil-5	gelmeyebilirler
tr	Yelda	c-gel-q-0	gelebilir miyim
tr	Yelda	c-gel-q-1	gelebilir misin
tr	Yelda	c-gel-q-2	gelebilir mi
tr	Yelda	c-gel-q-3	gelebilir miyiz
tr	Yelda	c-gel-q-4	gelebilir misiniz
tr	Yelda	c-gel-q-5	gelebilirler mi
tr	Yelda	c-gel-mali-0	gelmeliyim
tr	Yelda	c-gel-mali-1	gelmelisin
tr	Yelda	c-gel-mali-2	gelmeli
tr	Yelda	c-gel-mali-3	gelmeliyiz
tr	Yelda	c-gel-mali-4	gelmelisiniz
tr	Yelda	c-gel-mali-5	gelmeliler
tr	Yelda	c-gel-mamali-0	gelmemeliyim
tr	Yelda	c-gel-mamali-1	gelmemelisin
tr	Yelda	c-gel-mamali-2	gelmemeli
tr	Yelda	c-gel-mamali-3	gelmemeliyiz
tr	Yelda	c-gel-mamali-4	gelmemelisiniz
tr	Yelda	c-gel-mamali-5	gelmemeliler
tr	Yelda	c-gel-lazim-0	gelmem lazım
tr	Yelda	c-gel-lazim-1	gelmen lazım
tr	Yelda	c-gel-lazim-2	gelmesi lazım
tr	Yelda	c-gel-lazim-3	gelmemiz lazım
tr	Yelda	c-gel-lazim-4	gelmeniz lazım
tr	Yelda	c-gel-lazim-5	gelmeleri lazım
tr	Yelda	c-gel-zorunda-0	gelmek zorundayım
tr	Yelda	c-gel-zorunda-1	gelmek zorundasın
tr	Yelda	c-gel-zorunda-2	gelmek zorunda
tr	Yelda	c-gel-zorunda-3	gelmek zorundayız
tr	Yelda	c-gel-zorunda-4	gelmek zorundasınız
tr	Yelda	c-gel-zorunda-5	gelmek zorundalar
tr	Yelda	c-yap-abil-0	yapabilirim
tr	Yelda	c-yap-abil-1	yapabilirsin
tr	Yelda	c-yap-abil-2	yapabilir
tr	Yelda	c-yap-abil-3	yapabiliriz
tr	Yelda	c-yap-abil-4	yapabilirsiniz
tr	Yelda	c-yap-abil-5	yapabilirler
tr	Yelda	c-yap-ama-0	yapamam
tr	Yelda	c-yap-ama-1	yapamazsın
tr	Yelda	c-yap-ama-2	yapamaz
tr	Yelda	c-yap-ama-3	yapamayız
tr	Yelda	c-yap-ama-4	yapamazsınız
